[00:29:42]	Morgan Beck entered observer.
[00:29:46]	CCA.C08-JUDGE.i1.91412 opened the '' #932 container.
[00:29:47]	CCA.C08-JUDGE.i1.91412 closed the '' #932 container.
[00:29:56]	James Jacob exited observer at their location.
[00:29:57]	James Albright ran 'take' on item 'Notepad' (#15040)
[00:29:57]	James Albright has gained a 'Notepad' #15040.
[00:29:58]	James Jacob entered observer.
[00:29:58]	James Jacob exited observer at their location.
[00:29:59]	James Jacob entered observer.
[00:29:59]	James Albright ran 'take' on item 'Notepad' (#15037)
[00:29:59]	James Albright has gained a 'Notepad' #15037.
[00:29:59]	CCA.C08-UNION.i5.19267 has gained 10 tokens.
[00:30:00]	James Jacob exited observer at their location.
[00:30:00]	James Albright ran 'take' on item 'Notepad' (#15039)
[00:30:00]	James Albright has gained a 'Notepad' #15039.
[00:30:02]	[ME] CCA.C08-UNION.i5.19267: Starts to stare more at the graffit
[00:30:23]	Morgan Beck exited observer at their location.
[00:31:15]	Saul Zolnerkevich opened the 'Metal Cabinet' #1497 container.
[00:31:18]	Saul Zolnerkevich closed the 'Metal Cabinet' #1497 container.
[00:31:18]	CCA.C08-JUDGE.i1.91412 used command '/Radio Dispatch, Slums have been cleared. A storage locker of contraband was found; Recommending more security or sweeps through the Slums.'.
[00:31:33]	James Albright has gained a 'Broken Padlock' #15063.
[00:31:33]	James Albright used command '/CreateCustomItem Broken Padlock models/props_wasteland/prison_padlock001b.mdl A broken metal padlock. It's got a hole in it.'.
[00:31:41]	CCA.C08-JUDGE.i1.91412 opened the '' #1286 container.
[00:31:42]	James Albright has gained a 'Broken Padlock' #15064.
