[17:02:58]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:59]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:00]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:00]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:01]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:02]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:03]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:03]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:04]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:05]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:06]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:06]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:07]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:08]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:09]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:09]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:10]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:11]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:12]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:12]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:13]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:14]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:15]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:15]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:16]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:17]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:18]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:19]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:19]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:20]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:21]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:22]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:22]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:23]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:24]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:25]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:25]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:26]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:27]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:28]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:28]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:29]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:30]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:31]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:31]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:32]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:33]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:34]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:34]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:35]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:36]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:37]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:37]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:38]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:39]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:40]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:40]	Lee Maylor has taken 1 damage from worldspawn.
[17:03:41]	Lee Maylor has taken 1 damage from worldspawn.
